downloadKey	numberRecords	totalRecords	numberDatasets
0000073-160623103540712	2	25433	165
0001412-160803222355964	2	160908	330
0006166-170714134226665	2	146739	325
0006194-170714134226665	7	191867	473
0001346-160803222355964	7	86099	297
0001340-160803222355964	2	80986	281
0001068-160623103540712	2	16957	111
0000473-160803222355964	2	19093	117
0005666-170714134226665	2	40553	265
0006530-170714134226665	3	20935	217
0000557-160803222355964	2	47806	153
0003094-170714134226665	4	64285	254
0038177-160910150852091	7	227899	398
0001031-160623103540712	2	18642	142
0001065-160623103540712	2	14478	149
0088410-160910150852091	2	38128	236
0000554-160803222355964	3	38741	242
0001399-160803222355964	2	124409	368
0000495-160803222355964	2	15036	182
0000061-160623103540712	3	55683	280
0038187-160910150852091	31	280258	567
0001052-160623103540712	2	9358	137
0038209-160910150852091	22	389011	376
0005170-170627171947987	2	26181	218
0000492-160803222355964	3	20046	214
0001037-160623103540712	2	4931	62
0001886-170714134226665	2	11003	148
0001336-160803222355964	2	64845	343
0038175-160910150852091	6	219923	518
0005742-170714134226665	2	71138	163
0001356-160803222355964	1	95669	403
0002404-170714134226665	5	69427	365
0006680-170714134226665	1	58044	194
0026789-160910150852091	2	10429	122
0038180-160910150852091	2	235251	211
0038192-160910150852091	25	290256	630
0088411-160910150852091	7	55587	348
0088414-160910150852091	8	104142	336
0037887-160910150852091	3	176141	455
0005734-170714134226665	7	78350	275
0003074-170627171947987	2	137286	297
0038207-160910150852091	13	364801	443
0003093-170714134226665	2	21677	140
0038201-160910150852091	5	309062	716
0000366-160623103540712	2	2388	45
0001873-170714134226665	2	18087	136
0001021-160623103540712	10	19639	188
0003087-170714134226665	2	38400	160
0000564-160803222355964	1	38468	192
0006523-170714134226665	5	75526	333
0001042-160623103540712	2	8437	106
0000582-160803222355964	2	45684	220
0000030-160623103540712	270	74536	182
0001344-160803222355964	8	81211	239
0000060-160623103540712	1	66856	173
0001063-160623103540712	2	13178	140
0000063-160623103540712	6	38581	236
0000617-160803222355964	3	61441	306
0000501-160803222355964	4	25110	235
0001380-160803222355964	2	102259	377
0001383-160803222355964	2	112239	223
0001072-160623103540712	1	44709	156
0001066-160623103540712	2	15274	160
0001069-160623103540712	2	15348	148
0000411-170821155850132	7	48817	320
0000466-160803222355964	3	17578	163
0005174-170627171947987	2	39360	225
0001369-160803222355964	3	96895	336
0006687-170714134226665	22	105784	239
0088412-160910150852091	3	16456	184
0003087-170627171947987	2	40476	192
0000499-160803222355964	13	19318	217
0001391-160803222355964	8	129117	304
0006628-170714134226665	9	186503	297
0001338-160803222355964	5	64244	275
